i,ui
0, 54.904013961342756
1, 54.83413612539215
2, 54.764258289441536
3, 54.694380453490915
4, 54.6245026175403
5, 54.554624781589695
6, 54.48474694563908
7, 54.41486910968846
8, 54.34499127373785
9, 54.275113437787226
10, 54.20523560183659
11, 54.135357765885956
12, 54.06547992993531
13, 53.99560209398466
14, 53.92572425803401
15, 53.85584642208337
16, 53.78596858613271
17, 53.71609075018206
18, 53.64621291423141
19, 53.57633507828078
20, 53.50645724233015
21, 53.43657940637952
22, 53.36670157042891
23, 53.29682373447831
24, 53.22694589852772
25, 53.15706806257712
26, 53.08719022662651
27, 53.017312390675926
28, 52.94743455472534
29, 52.877556718774755
30, 52.807678882824185
31, 52.73780104687362
32, 52.66792321092306
33, 52.59804537497249
34, 52.52816753902192
35, 52.45828970307135
36, 52.38841186712079
37, 52.318534031170216
38, 52.24865619521963
39, 52.17877835926905
40, 52.108900523318475
41, 52.03902268736789
42, 51.969144851417305
43, 51.89926701546673
44, 51.829389179516134
45, 51.75951134356553
46, 51.68963350761492
47, 51.619755671664315
48, 51.54987783571371
49, 51.479999999763095
50, 51.41012216381249
51, 51.34024432786188
52, 51.27036649191128
53, 51.20048865596066
54, 51.13061082001003
55, 51.06073298405939
56, 50.99085514810877
57, 50.92097731215815
58, 50.85109947620752
59, 50.78122164025689
60, 50.711343804306246
61, 50.64146596835559
62, 50.571588132404926
63, 50.50171029645427
64, 50.431832460503614
65, 50.36195462455296
66, 50.29207678860231
67, 50.22219895265166
68, 50.152321116700996
69, 50.08244328075033
70, 50.01256544479967
71, 49.94268760884901
72, 49.87280977289835
73, 49.80293193694768
74, 49.733054100997
75, 49.66317626504632
76, 49.59329842909564
77, 49.52342059314497
78, 49.453542757194285
79, 49.383664921243614
80, 49.31378708529294
81, 49.24390924934225
82, 49.17403141339158
83, 49.104153577440904
84, 49.034275741490234
85, 48.96439790553956
86, 48.8945200695889
87, 48.82464223363824
88, 48.75476439768757
89, 48.6848865617369
90, 48.615008725786225
91, 48.545130889835555
92, 48.47525305388489
93, 48.40537521793422
94, 48.33549738198355
95, 48.26561954603288
96, 48.19574171008222
97, 48.12586387413156
98, 48.05598603818089
99, 47.98610820223022
100, 47.916230366279564
101, 47.8463525303289
102, 47.776474694378244
103, 47.70659685842759
104, 47.636719022476925
105, 47.566841186526254
106, 47.49696335057557
107, 47.42708551462489
108, 47.357207678674214
109, 47.28732984272354
110, 47.21745200677285
111, 47.14757417082217
112, 47.07769633487149
113, 47.007818498920805
114, 46.93794066297012
115, 46.86806282701943
116, 46.798184991068744
117, 46.72830715511806
118, 46.65842931916736
119, 46.58855148321667
120, 46.51867364726597
121, 46.44879581131527
122, 46.378917975364566
123, 46.30904013941387
124, 46.23916230346316
125, 46.169284467512455
126, 46.09940663156175
127, 46.02952879561104
128, 45.959650959660344
129, 45.88977312370964
130, 45.81989528775894
131, 45.75001745180825
132, 45.68013961585754
133, 45.610261779906835
134, 45.54038394395614
135, 45.47050610800543
136, 45.40062827205473
137, 45.330750436104026
138, 45.26087260015332
139, 45.19099476420261
140, 45.121116928251894
141, 45.051239092301174
142, 44.98136125635045
143, 44.91148342039974
144, 44.84160558444903
145, 44.7717277484983
146, 44.70184991254756
147, 44.63197207659682
148, 44.56209424064608
149, 44.49221640469534
150, 44.42233856874461
151, 44.352460732793865
152, 44.282582896843124
153, 44.212705060892375
154, 44.14282722494163
155, 44.072949388990885
156, 44.00307155304014
157, 43.93319371708939
158, 43.86331588113863
159, 43.793438045187884
160, 43.72356020923713
161, 43.65368237328637
162, 43.58380453733562
163, 43.51392670138486
164, 43.44404886543411
165, 43.37417102948336
166, 43.3042931935326
167, 43.23441535758186
168, 43.16453752163111
169, 43.094659685680355
170, 43.02478184972961
171, 42.95490401377885
172, 42.885026177828095
173, 42.81514834187734
174, 42.745270505926584
175, 42.67539266997583
176, 42.60551483402507
177, 42.5356369980743
178, 42.46575916212353
179, 42.395881326172756
180, 42.32600349022197
181, 42.256125654271194
182, 42.18624781832042
183, 42.11636998236963
184, 42.04649214641885
185, 41.97661431046807
186, 41.90673647451729
187, 41.8368586385665
188, 41.7669808026157
189, 41.6971029666649
190, 41.6272251307141
191, 41.55734729476331
192, 41.48746945881252
193, 41.41759162286173
194, 41.34771378691094
195, 41.277835950960146
196, 41.207958115009355
197, 41.13808027905856
198, 41.06820244310777
199, 40.998324607156974
200, 40.928446771206175
201, 40.85856893525539
202, 40.78869109930461
203, 40.71881326335382
204, 40.64893542740304
205, 40.579057591452255
206, 40.50917975550147
207, 40.43930191955069
208, 40.3694240835999
209, 40.29954624764911
210, 40.22966841169832
211, 40.15979057574753
212, 40.08991273979674
213, 40.02003490384594
214, 39.95015706789515
215, 39.88027923194436
216, 39.81040139599356
217, 39.74052356004277
218, 39.67064572409197
219, 39.60076788814117
220, 39.530890052190365
221, 39.46101221623956
222, 39.391134380288754
223, 39.321256544337956
224, 39.25137870838716
225, 39.18150087243636
226, 39.111623036485554
227, 39.04174520053475
228, 38.97186736458394
229, 38.901989528633145
230, 38.832111692682346
231, 38.762233856731555
232, 38.692356020780764
233, 38.622478184829966
234, 38.55260034887917
235, 38.482722512928376
236, 38.412844676977585
237, 38.342966841026794
238, 38.273089005075995
239, 38.2032111691252
240, 38.133333333174384
241, 38.06345549722357
242, 37.99357766127276
243, 37.92369982532194
244, 37.85382198937113
245, 37.78394415342031
246, 37.714066317469495
247, 37.64418848151868
248, 37.57431064556786
249, 37.50443280961704
250, 37.434554973666216
251, 37.3646771377154
252, 37.294799301764584
253, 37.224921465813765
254, 37.15504362986295
255, 37.08516579391213
256, 37.015287957961306
257, 36.945410122010486
258, 36.875532286059666
259, 36.80565445010885
260, 36.73577661415803
261, 36.6658987782072
262, 36.59602094225639
263, 36.526143106305575
264, 36.45626527035476
265, 36.38638743440395
266, 36.31650959845314
267, 36.24663176250232
268, 36.1767539265515
269, 36.10687609060069
270, 36.036998254649895
271, 35.96712041869908
272, 35.89724258274828
273, 35.82736474679747
274, 35.757486910846666
275, 35.68760907489587
276, 35.61773123894507
277, 35.54785340299427
278, 35.47797556704347
279, 35.408097731092674
280, 35.33821989514187
281, 35.26834205919106
282, 35.19846422324025
283, 35.12858638728944
284, 35.05870855133863
285, 34.98883071538783
286, 34.918952879437015
287, 34.8490750434862
288, 34.77919720753539
289, 34.70931937158458
290, 34.639441535633765
291, 34.56956369968295
292, 34.49968586373215
293, 34.42980802778134
294, 34.359930191830536
295, 34.29005235587972
296, 34.220174519928904
297, 34.150296683978084
298, 34.080418848027264
299, 34.01054101207644
300, 33.94066317612561
301, 33.870785340174784
302, 33.80090750422396
303, 33.73102966827314
304, 33.66115183232232
305, 33.59127399637149
306, 33.52139616042067
307, 33.45151832446985
308, 33.38164048851903
309, 33.31176265256821
310, 33.24188481661739
311, 33.17200698066657
312, 33.102129144715754
313, 33.03225130876493
314, 32.9623734728141
315, 32.89249563686327
316, 32.82261780091245
317, 32.75273996496162
318, 32.6828621290108
319, 32.612984293059974
320, 32.543106457109154
321, 32.473228621158334
322, 32.403350785207515
323, 32.33347294925669
324, 32.263595113305854
325, 32.19371727735503
326, 32.1238394414042
327, 32.053961605453374
328, 31.984083769502544
329, 31.91420593355171
330, 31.84432809760087
331, 31.774450261650028
332, 31.704572425699187
333, 31.634694589748342
334, 31.5648167537975
335, 31.49493891784666
336, 31.425061081895823
337, 31.355183245944982
338, 31.285305409994137
339, 31.215427574043293
340, 31.145549738092445
341, 31.075671902141597
342, 31.005794066190752
343, 30.935916230239908
344, 30.866038394289063
345, 30.796160558338215
346, 30.72628272238737
347, 30.65640488643653
348, 30.58652705048568
349, 30.516649214534837
350, 30.446771378583993
351, 30.37689354263315
352, 30.307015706682304
353, 30.237137870731452
354, 30.167260034780604
355, 30.097382198829752
356, 30.0275043628789
357, 29.957626526928046
358, 29.88774869097719
359, 29.817870855026335
360, 29.74799301907548
361, 29.67811518312462
362, 29.608237347173766
363, 29.53835951122291
364, 29.468481675272056
365, 29.3986038393212
366, 29.328726003370342
367, 29.258848167419483
368, 29.188970331468628
369, 29.119092495517773
370, 29.04921465956692
371, 28.979336823616066
372, 28.90945898766521
373, 28.839581151714356
374, 28.769703315763504
375, 28.699825479812652
376, 28.6299476438618
377, 28.560069807910946
378, 28.49019197196009
379, 28.42031413600924
380, 28.350436300058387
381, 28.280558464107536
382, 28.210680628156684
383, 28.140802792205836
384, 28.07092495625499
385, 28.00104712030415
386, 27.931169284353306
387, 27.861291448402465
388, 27.79141361245162
389, 27.72153577650078
390, 27.65165794054994
391, 27.581780104599098
392, 27.511902268648253
393, 27.44202443269741
394, 27.372146596746564
395, 27.302268760795723
396, 27.23239092484488
397, 27.162513088894038
398, 27.092635252943193
399, 27.022757416992352
400, 26.95287958104151
401, 26.883001745090667
402, 26.813123909139822
403, 26.743246073188974
404, 26.673368237238126
405, 26.603490401287274
406, 26.533612565336426
407, 26.46373472938558
408, 26.393856893434734
409, 26.32397905748389
410, 26.254101221533045
411, 26.184223385582204
412, 26.11434554963136
413, 26.044467713680522
414, 25.974589877729684
415, 25.904712041778847
416, 25.834834205828006
417, 25.76495636987716
418, 25.69507853392632
419, 25.62520069797548
420, 25.55532286202464
421, 25.4854450260738
422, 25.415567190122967
423, 25.34568935417213
424, 25.275811518221296
425, 25.205933682270462
426, 25.13605584631963
427, 25.066178010368795
428, 24.99630017441796
429, 24.926422338467134
430, 24.8565445025163
431, 24.786666666565466
432, 24.716788830614632
433, 24.6469109946638
434, 24.57703315871297
435, 24.507155322762134
436, 24.437277486811304
437, 24.367399650860467
438, 24.29752181490963
439, 24.227643978958795
440, 24.15776614300796
441, 24.087888307057124
442, 24.018010471106287
443, 23.94813263515545
444, 23.878254799204612
445, 23.80837696325377
446, 23.73849912730293
447, 23.66862129135209
448, 23.598743455401248
449, 23.528865619450404
450, 23.458987783499563
451, 23.389109947548725
452, 23.319232111597884
453, 23.24935427564704
454, 23.1794764396962
455, 23.109598603745358
456, 23.039720767794517
457, 22.969842931843676
458, 22.899965095892835
459, 22.830087259941994
460, 22.760209423991157
461, 22.690331588040316
462, 22.620453752089475
463, 22.550575916138637
464, 22.4806980801878
465, 22.410820244236962
466, 22.34094240828613
467, 22.271064572335295
468, 22.20118673638446
469, 22.131308900433623
470, 22.06143106448279
471, 21.991553228531952
472, 21.92167539258112
473, 21.85179755663028
474, 21.781919720679447
475, 21.712041884728613
476, 21.642164048777786
477, 21.572286212826953
478, 21.50240837687612
479, 21.432530540925278
480, 21.362652704974437
481, 21.292774869023596
482, 21.222897033072755
483, 21.153019197121917
484, 21.083141361171077
485, 21.01326352522024
486, 20.9433856892694
487, 20.87350785331856
488, 20.80363001736772
489, 20.733752181416882
490, 20.66387434546604
491, 20.5939965095152
492, 20.52411867356436
493, 20.454240837613515
494, 20.38436300166267
495, 20.314485165711822
496, 20.244607329760974
497, 20.17472949381013
498, 20.104851657859285
499, 20.03497382190844
500, 19.9650959859576
501, 19.92516579398569
502, 19.885235602013783
503, 19.84530541004187
504, 19.80537521806996
505, 19.765445026098043
506, 19.72551483412613
507, 19.68558464215422
508, 19.64565445018231
509, 19.6057242582104
510, 19.565794066238492
511, 19.525863874266587
512, 19.485933682294682
513, 19.446003490322774
514, 19.406073298350865
515, 19.36614310637896
516, 19.326212914407048
517, 19.28628272243514
518, 19.246352530463227
519, 19.206422338491315
520, 19.166492146519403
521, 19.12656195454749
522, 19.086631762575582
523, 19.04670157060367
524, 19.006771378631758
525, 18.966841186659845
526, 18.92691099468793
527, 18.886980802716014
528, 18.847050610744102
529, 18.80712041877219
530, 18.76719022680028
531, 18.72726003482837
532, 18.687329842856453
533, 18.647399650884545
534, 18.607469458912632
535, 18.567539266940717
536, 18.527609074968804
537, 18.487678882996892
538, 18.447748691024977
539, 18.407818499053064
540, 18.367888307081156
541, 18.327958115109247
542, 18.28802792313734
543, 18.248097731165426
544, 18.208167539193518
545, 18.168237347221602
546, 18.128307155249686
547, 18.08837696327777
548, 18.04844677130586
549, 18.008516579333946
550, 17.968586387362034
551, 17.92865619539012
552, 17.888726003418203
553, 17.848795811446287
554, 17.808865619474375
555, 17.768935427502463
556, 17.729005235530547
557, 17.689075043558635
558, 17.64914485158672
559, 17.609214659614803
560, 17.569284467642888
561, 17.529354275670972
562, 17.489424083699056
563, 17.44949389172714
564, 17.409563699755225
565, 17.36963350778331
566, 17.329703315811397
567, 17.28977312383948
568, 17.249842931867565
569, 17.20991273989565
570, 17.16998254792373
571, 17.13005235595181
572, 17.090122163979895
573, 17.05019197200798
574, 17.010261780036064
575, 16.97033158806415
576, 16.930401396092233
577, 16.890471204120313
578, 16.8505410121484
579, 16.81061082017649
580, 16.77068062820458
581, 16.73075043623267
582, 16.690820244260763
583, 16.650890052288847
584, 16.61095986031693
585, 16.57102966834502
586, 16.531099476373107
587, 16.491169284401195
588, 16.451239092429287
589, 16.411308900457378
590, 16.37137870848547
591, 16.33144851651356
592, 16.29151832454165
593, 16.25158813256974
594, 16.211657940597835
595, 16.171727748625926
596, 16.131797556654018
597, 16.09186736468211
598, 16.0519371727102
599, 16.012006980738292
600, 15.972076788766378
601, 15.932146596794466
602, 15.892216404822554
603, 15.852286212850641
604, 15.81235602087873
605, 15.772425828906815
606, 15.732495636934901
607, 15.692565444962986
608, 15.65263525299107
609, 15.612705061019154
610, 15.572774869047237
611, 15.53284467707532
612, 15.492914485103402
613, 15.452984293131484
614, 15.413054101159567
615, 15.37312390918765
616, 15.333193717215732
617, 15.293263525243814
618, 15.253333333271897
619, 15.213403141299978
620, 15.17347294932806
621, 15.133542757356143
622, 15.093612565384225
623, 15.053682373412306
624, 15.013752181440386
625, 14.973821989468467
626, 14.93389179749655
627, 14.893961605524632
628, 14.854031413552717
629, 14.814101221580803
630, 14.774171029608885
631, 14.73424083763697
632, 14.694310645665055
633, 14.654380453693141
634, 14.614450261721228
635, 14.574520069749314
636, 14.534589877777398
637, 14.494659685805482
638, 14.454729493833566
639, 14.41479930186165
640, 14.374869109889735
641, 14.334938917917821
642, 14.295008725945905
643, 14.255078533973993
644, 14.215148342002081
645, 14.175218150030169
646, 14.135287958058255
647, 14.095357766086343
648, 14.05542757411443
649, 14.015497382142517
650, 13.975567190170604
651, 13.935636998198692
652, 13.89570680622678
653, 13.855776614254868
654, 13.815846422282956
655, 13.775916230311044
656, 13.73598603833913
657, 13.696055846367216
658, 13.656125654395302
659, 13.616195462423384
660, 13.576265270451469
661, 13.536335078479551
662, 13.496404886507634
663, 13.456474694535716
664, 13.4165445025638
665, 13.376614310591883
666, 13.336684118619967
667, 13.29675392664805
668, 13.256823734676134
669, 13.216893542704218
670, 13.176963350732299
671, 13.137033158760381
672, 13.097102966788466
673, 13.05717277481655
674, 13.017242582844633
675, 12.977312390872717
676, 12.937382198900801
677, 12.897452006928885
678, 12.857521814956973
679, 12.817591622985057
680, 12.777661431013142
681, 12.737731239041226
682, 12.69780104706931
683, 12.657870855097396
684, 12.617940663125482
685, 12.57801047115357
686, 12.538080279181655
687, 12.49815008720974
688, 12.458219895237827
689, 12.418289703265913
690, 12.378359511293999
691, 12.338429319322085
692, 12.29849912735017
693, 12.258568935378252
694, 12.218638743406334
695, 12.178708551434417
696, 12.1387783594625
697, 12.098848167490582
698, 12.058917975518664
699, 12.018987783546747
